TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
br.com.Ball,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,5,0
br.com.Ball,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,5,0
